date,product,category,region,sales_channel,quantity,unit_price,revenue,cost,profit
2024-01-01,Mechanical Keyboard,Electronics,North,Wholesale,15,144.68,2170.2,1085.1,1085.1
2024-01-01,Laptop Pro,Electronics,Central,Online,15,992.31,14884.65,9675.02,5209.63
2024-01-01,Standing Desk,Furniture,West,B2B,17,507.54,8628.18,5004.34,3623.84
2024-01-01,Headset Pro,Accessories,West,Wholesale,12,154.19,1850.28,888.13,962.15
2024-01-01,Webcam HD,Accessories,East,Wholesale,12,107.93,1295.16,543.97,751.19
2024-01-01,Monitor 27inch,Electronics,East,Wholesale,4,353.68,1414.72,848.83,565.89
2024-01-01,Headset Pro,Accessories,South,Online,1,105.37,105.37,50.58,54.79
2024-01-02,Monitor 27inch,Electronics,East,B2B,7,418.03,2926.21,1755.73,1170.48
2024-01-02,Webcam HD,Accessories,South,,4,68.6,274.4,115.25,159.15
2024-01-02,Laptop Pro,Electronics,North,B2B,5,1219.55,6097.75,3963.54,2134.21
2024-01-02,Mechanical Keyboard,Electronics,Central,B2B,13,147.91,1922.83,961.41,961.42
2024-01-03,Mechanical Keyboard,Electronics,East,B2B,19,85.12,1617.28,808.64,808.64
2024-01-03,Mechanical Keyboard,Electronics,South,Wholesale,9,88.22,793.98,396.99,396.99
2024-01-03,Webcam HD,Accessories,Central,B2B,15,58.48,877.2,368.42,508.78
2024-01-03,Mechanical Keyboard,Electronics,West,B2B,16,137.7,2203.2,1101.6,1101.6
2024-01-03,Standing Desk,Furniture,North,B2B,4,478.22,1912.88,1109.47,803.41
2024-01-03,Coffee Machine,Appliances,South,Retail,17,282.31,4799.27,2495.62,2303.65
2024-01-03,Desk Lamp,Furniture,East,Wholesale,9,55.5,499.5,174.82,324.68
2024-01-03,Water Purifier,Appliances,West,Online,18,309.35,5568.3,3062.57,2505.73
2024-01-03,Monitor 27inch,Electronics,South,B2B,12,461.11,5533.32,3319.99,2213.33
2024-01-04,Water Purifier,Appliances,South,Wholesale,17,293.41,4987.97,2743.38,2244.59
2024-01-04,Mechanical Keyboard,Electronics,North,Wholesale,5,147.0,735.0,367.5,367.5
2024-01-04,Laptop Pro,Electronics,North,Wholesale,16,1091.19,17459.04,11348.38,6110.66
2024-01-05,Standing Desk,Furniture,South,Retail,16,552.37,8837.92,5125.99,3711.93
